,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,target,is_correct
0,0.12315270935960591,0.725,0.3181818181818182,0.021474588403722263,3,False
1,0.12315270935960591,0.725,0.3181818181818182,0.021474588403722263,4,True
2,0.12315270935960591,0.725,0.3181818181818182,0.021474588403722263,2,False
3,0.12315270935960591,0.725,0.3181818181818182,0.021474588403722263,1,False
4,0.578544061302682,0.9694444444444444,0.15151515151515152,0.3493199713672155,4,False
5,0.578544061302682,0.9694444444444444,0.15151515151515152,0.3493199713672155,3,False
6,0.578544061302682,0.9694444444444444,0.15151515151515152,0.3493199713672155,1,True
7,0.578544061302682,0.9694444444444444,0.15151515151515152,0.3493199713672155,2,False
8,0.09961685823754789,0.16944444444444445,0.24242424242424243,0.021474588403722263,3,False
9,0.09961685823754789,0.16944444444444445,0.24242424242424243,0.021474588403722263,4,True
10,0.09961685823754789,0.16944444444444445,0.24242424242424243,0.021474588403722263,2,False
11,0.09961685823754789,0.16944444444444445,0.24242424242424243,0.021474588403722263,1,False
12,0.09742747673782157,0.35,0.25757575757575757,0.0,3,False
13,0.09742747673782157,0.35,0.25757575757575757,0.0,2,False
14,0.09742747673782157,0.35,0.25757575757575757,0.0,4,True
15,0.09742747673782157,0.35,0.25757575757575757,0.0,1,False
16,0.7345374931581828,0.9194444444444444,0.07575757575757576,0.0,4,False
17,0.7345374931581828,0.9194444444444444,0.07575757575757576,0.0,2,False
18,0.7345374931581828,0.9194444444444444,0.07575757575757576,0.0,1,True
19,0.7345374931581828,0.9194444444444444,0.07575757575757576,0.0,3,False
20,0.09906951286261631,0.8,0.10606060606060606,0.021474588403722263,1,False
21,0.09906951286261631,0.8,0.10606060606060606,0.021474588403722263,4,True
22,0.09906951286261631,0.8,0.10606060606060606,0.021474588403722263,3,False
23,0.09906951286261631,0.8,0.10606060606060606,0.021474588403722263,2,False
24,0.5331143951833607,0.4166666666666667,0.22727272727272727,0.1732283464566929,1,True
25,0.5331143951833607,0.4166666666666667,0.22727272727272727,0.1732283464566929,3,False
26,0.5331143951833607,0.4166666666666667,0.22727272727272727,0.1732283464566929,4,False
27,0.5331143951833607,0.4166666666666667,0.22727272727272727,0.1732283464566929,2,False
28,0.19759168035030103,0.49444444444444446,0.16666666666666666,0.14387974230493916,1,False
29,0.19759168035030103,0.49444444444444446,0.16666666666666666,0.14387974230493916,2,False
30,0.19759168035030103,0.49444444444444446,0.16666666666666666,0.14387974230493916,4,False
31,0.19759168035030103,0.49444444444444446,0.16666666666666666,0.14387974230493916,3,True
32,0.4849480021893815,0.85,0.16666666666666666,0.047959914101646385,4,False
33,0.4849480021893815,0.85,0.16666666666666666,0.047959914101646385,2,True
34,0.4849480021893815,0.85,0.16666666666666666,0.047959914101646385,3,False
35,0.4849480021893815,0.85,0.16666666666666666,0.047959914101646385,1,False
36,0.14066776135741654,0.8888888888888888,0.4090909090909091,0.1073729420186113,1,False
